title,price,kilometers,date_posted,location,link
1994 Mazda MX-5,"$6,500","277,224",N/A,Deux-Montagnes,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29625645
1990 Mazda MX-5 CONVERTIBLE | COUPE |,"$10,910*+ taxes","163,311",N/A,Vaughan,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29785347
1994 Mazda MX-5 Base,"$6,000","226,500",N/A,Invalid Location,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29411993
1990 Mazda MX-5,"$8,000","136,000",N/A,Brantford,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29751667
1990 Mazda MX-5,"$5,900","377,000",N/A,Red Deer,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29765469
1994 Mazda MX-5 base,"$11,000","227,956",N/A,Oakville,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29721189
1990 Mazda MX-5,"$10,500","163,587",N/A,Reserve Mines,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29419036
1990 Mazda MX-5,"$9,500","134,008",N/A,L'Orignal,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29535395
1990 Mazda MX-5,"$8,000","147,500",N/A,Welland,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29805024
1990 Mazda MX-5,"$6,950","178,005",N/A,Invalid Location,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=29797387
1992 Mazda MX-5,"$8,000","80,000",N/A,Mississauga,https://www.kijijiautos.ca/cars/mazda/mx-5/#vip=28238856
